Institution_Name,Branch_Name,Address,City,State,ZIP_Code,County_Name,County_FIPS_Code,Branch_ID,FDIC_ID,Total_Deposits_Millions,Est_Year,Geographic_Coordinates
"Wells Fargo Bank, National Association",DALY STREET BRANCH,2511 Daly St,Los Angeles,CA,90031,Los Angeles,,200503,200503,,04/25/1997,
"Wells Fargo Bank, National Association",BALDWIN HILLS BRANCH,3649 Stocker St,Los Angeles,CA,90008,Los Angeles,,200555,200555,,02/21/1997,
"Wells Fargo Bank, National Association",WILSHIRE WESTWOOD BRANCH,10920 Wilshire Blvd,Los Angeles,CA,90024,Los Angeles,,200823,200823,,06/01/1972,
"Bank of America, National Association",BANK OF AMERICA PLAZA BRANCH,333 S Hope St Ste 100,Los Angeles,CA,90071,Los Angeles,,2230,2230,,01/01/1871,
"JPMorgan Chase Bank, National Association",WILSHIRE CENTER BRANCH,3731 Wilshire Blvd,Los Angeles,CA,90010,Los Angeles,,235851,235851,,02/26/1993,
U.S. Bank National Association,WEST LOS ANGELES BRANCH,4032 S Centinela Ave,Los Angeles,CA,90066,Los Angeles,,240847,240847,,05/01/1964,
U.S. Bank National Association,LITTLE TOKYO BRANCH,120 S San Pedro St,Los Angeles,CA,90012,Los Angeles,,240850,240850,,02/09/1953,
U.S. Bank National Association,CRENSHAW BRANCH,3060 Crenshaw Blvd,Los Angeles,CA,90016,Los Angeles,,240851,240851,,03/11/1963,
"Zions Bancorporation, N.A.",CRENSHAW BRANCH,3810 Crenshaw Blvd,Los Angeles,CA,90008,Los Angeles,,240969,240969,,08/01/1961,
"Zions Bancorporation, N.A.",WEST LOS ANGELES BRANCH,11345 W Olympic Blvd,Los Angeles,CA,90064,Los Angeles,,240988,240988,,09/24/1975,
City National Bank,WESTWOOD BRANCH,10880 Wilshire Blvd,Los Angeles,CA,90024,Los Angeles,,241250,241250,,07/01/1960,
City National Bank,WEST LOS ANGELES BRANCH,11300 W. Olympic Boulevard,Los Angeles,CA,90064,Los Angeles,,241276,241276,,09/26/1983,
City National Bank,LOS ANGELES MAIN BRANCH,525 S Flower St,Los Angeles,CA,90071,Los Angeles,,241283,241283,,09/23/1997,
SMBC MANUBANK,ENCINO BRANCH,16255 Ventura Boulevard,Los Angeles,CA,91436,Los Angeles,,244748,244748,,06/15/1970,
First Bank,LA-CHINATOWN BRANCH,725 N Broadway,Los Angeles,CA,90012,Los Angeles,,245420,245420,,09/17/1986,
SMBC MANUBANK,WARNER CENTER BRANCH,"21550 Oxnard Street, Suite 250",Los Angeles,CA,91367,Los Angeles,,245906,245906,,08/09/1982,
BMO Bank National Association,LITTLE TOKYO (CB) BRANCH,123 Astronaut E S Onizuka St,Los Angeles,CA,90012,Los Angeles,,246559,246559,,04/28/1986,
Comerica Bank,LOS ANGELES REGIONAL BRANCH,601 S Figueroa St,Los Angeles,CA,90017,Los Angeles,,246582,246582,,11/15/1971,
Comerica Bank,LOS ANGELES BRANCH,1840 Century Park E,Los Angeles,CA,90067,Los Angeles,,246599,246599,,09/01/1989,
Royal Business Bank,SILVERLAKE-SUNSET BRANCH,1912 W Sunset Blvd,Los Angeles,CA,90026,Los Angeles,,247403,247403,,03/01/1968,
Bank of Hope,WESTERN-9TH BRANCH,841 S Western Ave,Los Angeles,CA,90005,Los Angeles,,247797,247797,,07/07/1983,
"Zions Bancorporation, N.A.",LOS ANGELES METRO OFFICE,550 S Hope St,Los Angeles,CA,90071,Los Angeles,,251823,251823,,12/01/1998,
City National Bank,CENTURY CITY TOWERS BRANCH,2029 Century Park East A Level,Los Angeles,CA,90067,Los Angeles,,252454,252454,,12/04/1978,
Hanmi Bank,OLYMPIC-KINGSLEY BRANCH,3099 W Olympic Blvd,Los Angeles,CA,90006,Los Angeles,,253445,253445,,09/15/1977,
Hanmi Bank,VERMONT BRANCH,933 S Vermont Ave,Los Angeles,CA,90006,Los Angeles,,253449,253449,,03/06/1985,
Hanmi Bank,WILSHIRE-HOBART BRANCH,3660 Wilshire Blvd,Los Angeles,CA,90010,Los Angeles,,253458,253458,,11/04/1991,
Hanmi Bank,DOWNTOWN-LOS ANGELES BRANCH,950 S Los Angeles St,Los Angeles,CA,90015,Los Angeles,,257002,257002,,04/10/1986,
Hanmi Bank,OLYMPIC BRANCH,3737 Olympic Boulevard,Los Angeles,CA,90019,Los Angeles,,257004,257004,,01/16/1990,
Hanmi Bank,WESTERN BRANCH,120 S Western Ave,Los Angeles,CA,90004,Los Angeles,,257005,257005,,03/28/1991,
The Northern Trust Company,CENTURY CITY BRANCH,2049 Century Park E,Los Angeles,CA,90067,Los Angeles,,257422,257422,,02/15/1994,
Bank of Hope,BROADWAY BRANCH,1205 S Broadway,Los Angeles,CA,90015,Los Angeles,,259757,259757,,09/14/1990,
Bank of Hope,WESTERN-BEVERLY BRANCH,253 N Western Ave,Los Angeles,CA,90004,Los Angeles,,259758,259758,,12/01/1991,
Bank of Hope,OLYMPIC - VERMONT BRANCH,2727 W Olympic Blvd,Los Angeles,CA,90006,Los Angeles,,262205,262205,,09/28/1998,
"Citibank, National Association",WESTCHESTER BRANCH,8800 S Sepulveda Blvd,Los Angeles,CA,90045,Los Angeles,,266039,266039,,06/30/1987,
"Citibank, National Association",WEST HOLLYWOOD - SUNSET/DOHENY BRANCH,9059 W Sunset Blvd,Los Angeles,CA,90069,Los Angeles,,266045,266045,,06/30/1987,
"Citibank, National Association",BRENTWOOD BRANCH,11726 San Vincente Blvd,Los Angeles,CA,90049,Los Angeles,,268240,268240,,06/30/1992,
First-Citizens Bank & Trust Company,WEST LOS ANGELES BRANCH,3000 S Sepulveda Blvd,Los Angeles,CA,90034,Los Angeles,,268242,268242,,01/01/1929,
First-Citizens Bank & Trust Company,LA BREA BRANCH,400 N La Brea Ave,Los Angeles,CA,90036,Los Angeles,,268255,268255,,06/17/1990,
"JPMorgan Chase Bank, National Association",12335 VENICE BLVD BRANCH,12335 Venice Blvd,Los Angeles,CA,90066,Los Angeles,,268548,268548,,01/01/1929,
"JPMorgan Chase Bank, National Association",NORTH FIGUEROA ST BRANCH,5700 N Figueroa St,Los Angeles,CA,90042,Los Angeles,,268761,268761,,01/01/1889,
"JPMorgan Chase Bank, National Association",VERMONT AVE BRANCH,5717 S Vermont Ave,Los Angeles,CA,90037,Los Angeles,,268801,268801,,01/01/1889,
"JPMorgan Chase Bank, National Association",EL SERENO BRANCH,4887 Huntington Dr N,Los Angeles,CA,90032,Los Angeles,,268814,268814,,01/01/1889,
"JPMorgan Chase Bank, National Association",LA BREA BRANCH,449 N La Brea Ave,Los Angeles,CA,90036,Los Angeles,,268840,268840,,01/01/1889,
"JPMorgan Chase Bank, National Association",WESTWOOD BRANCH,1550 Westwood Blvd,Los Angeles,CA,90024,Los Angeles,,268864,268864,,01/01/1889,
